Trailer_num, Trailer_type,Arrival_time,Deadline, Supply/Demand/Loadtime, P1, P2, P3, P4, P5
NA, NA, min,min, Loadtime, 3.0, 3.0, 3.0, 3.0, 3.0
IT1, Inbound trailer,593.0,NA, Supply, 0, 0, 18, 0, 11
IT2, Inbound trailer,725.0,NA, Supply, 18, 12, 15, 11, 0
IT3, Inbound trailer,575.0,NA, Supply, 15, 0, 10, 0, 11
IT4, Inbound trailer,495.0,NA, Supply, 0, 19, 11, 0, 7
IT5, Inbound trailer,746.0,NA, Supply, 7, 0, 6, 0, 0
IT6, Inbound trailer,791.0,NA, Supply, 20, 10, 0, 0, 7
IT7, Inbound trailer,300.0,NA, Supply, 0, 17, 16, 13, 0
IT8, Inbound trailer,374.0,NA, Supply, 0, 18, 12, 0, 0
IT9, Inbound trailer,335.0,NA, Supply, 0, 10, 13, 0, 15
IT10, Inbound trailer,585.0,NA, Supply, 12, 0, 0, 19, 0
IT11, Inbound trailer,637.0,NA, Supply, 0, 0, 0, 0, 14
IT12, Inbound trailer,158.0,NA, Supply, 15, 0, 15, 0, 15
IT13, Inbound trailer,200.0,NA, Supply, 8, 8, 8, 0, 12
IT14, Inbound trailer,868.0,NA, Supply, 0, 9, 18, 18, 12
IT15, Inbound trailer,635.0,NA, Supply, 16, 0, 0, 13, 0
IT16, Inbound trailer,234.0,NA, Supply, 8, 0, 14, 17, 7
IT17, Inbound trailer,357.0,NA, Supply, 11, 0, 7, 13, 11
IT18, Inbound trailer,639.0,NA, Supply, 0, 10, 19, 0, 0
IT19, Inbound trailer,192.0,NA, Supply, 0, 14, 7, 12, 5
IT20, Inbound trailer,782.0,NA, Supply, 0, 0, 0, 18, 20
IT21, Inbound trailer,863.0,NA, Supply, 6, 0, 0, 0, 0
IT22, Inbound trailer,874.0,NA, Supply, 20, 6, 0, 0, 0
IT23, Inbound trailer,859.0,NA, Supply, 0, 19, 18, 19, 6
IT24, Inbound trailer,742.0,NA, Supply, 5, 15, 0, 0, 18
IT25, Inbound trailer,766.0,NA, Supply, 0, 0, 10, 0, 7
IT26, Inbound trailer,176.0,NA, Supply, 0, 0, 0, 10, 14
IT27, Inbound trailer,221.0,NA, Supply, 0, 13, 0, 0, 8
IT28, Inbound trailer,386.0,NA, Supply, 14, 16, 0, 0, 19
IT29, Inbound trailer,246.0,NA, Supply, 16, 19, 0, 16, 6
IT30, Inbound trailer,431.0,NA, Supply, 9, 6, 7, 10, 10
OT1, Outbound trailer, NA,1331.0, Demand, 0, 10, 0, 0, 7
OT2, Outbound trailer, NA,839.0, Demand, 0, 5, 0, 7, 0
OT3, Outbound trailer, NA,647.0, Demand, 0, 0, 0, 0, 3
OT4, Outbound trailer, NA,412.0, Demand, 0, 3, 13, 7, 6
OT5, Outbound trailer, NA,446.0, Demand, 6, 10, 12, 0, 5
OT6, Outbound trailer, NA,896.0, Demand, 8, 11, 10, 6, 11
OT7, Outbound trailer, NA,1132.0, Demand, 8, 5, 7, 9, 6
OT8, Outbound trailer, NA,699.0, Demand, 4, 0, 0, 3, 12
OT9, Outbound trailer, NA,849.0, Demand, 4, 8, 0, 0, 13
OT10, Outbound trailer, NA,1275.0, Demand, 5, 10, 6, 0, 0
OT11, Outbound trailer, NA,446.0, Demand, 0, 5, 0, 0, 0
OT12, Outbound trailer, NA,1098.0, Demand, 7, 6, 4, 0, 0
OT13, Outbound trailer, NA,765.0, Demand, 0, 0, 0, 6, 0
OT14, Outbound trailer, NA,702.0, Demand, 10, 6, 0, 4, 0
OT15, Outbound trailer, NA,773.0, Demand, 0, 8, 11, 8, 0
OT16, Outbound trailer, NA,551.0, Demand, 0, 0, 4, 7, 5
OT17, Outbound trailer, NA,547.0, Demand, 10, 0, 9, 3, 12
OT18, Outbound trailer, NA,683.0, Demand, 4, 5, 0, 0, 11
OT19, Outbound trailer, NA,805.0, Demand, 9, 7, 0, 6, 0
