Trailer_num, Trailer_type, Supply/Demand/Loadtime, P1, P2, P3, P4, P5
NA, NA, Loadtime, 3.0, 3.0, 3.0, 3.0, 3.0
IT1, Inbound trailer, Supply, 0, 13, 0, 0, 14
IT2, Inbound trailer, Supply, 0, 12, 0, 0, 0
IT3, Inbound trailer, Supply, 6, 0, 18, 20, 0
IT4, Inbound trailer, Supply, 6, 0, 0, 0, 0
IT5, Inbound trailer, Supply, 20, 6, 0, 0, 0
IT6, Inbound trailer, Supply, 0, 19, 18, 19, 6
IT7, Inbound trailer, Supply, 5, 15, 0, 0, 18
IT8, Inbound trailer, Supply, 0, 0, 10, 0, 7
IT9, Inbound trailer, Supply, 0, 0, 0, 10, 14
IT10, Inbound trailer, Supply, 0, 13, 0, 0, 8
IT11, Inbound trailer, Supply, 14, 16, 0, 0, 19
IT12, Inbound trailer, Supply, 16, 19, 0, 16, 6
IT13, Inbound trailer, Supply, 9, 6, 7, 10, 10
IT14, Inbound trailer, Supply, 0, 17, 0, 0, 11
IT15, Inbound trailer, Supply, 0, 9, 0, 13, 0
IT16, Inbound trailer, Supply, 0, 0, 0, 0, 6
IT17, Inbound trailer, Supply, 0, 6, 19, 13, 10
IT18, Inbound trailer, Supply, 10, 16, 17, 0, 8
IT19, Inbound trailer, Supply, 13, 18, 14, 11, 18
IT20, Inbound trailer, Supply, 12, 8, 11, 16, 10
IT21, Inbound trailer, Supply, 6, 0, 0, 7, 19
IT22, Inbound trailer, Supply, 7, 13, 0, 0, 20
IT23, Inbound trailer, Supply, 8, 16, 9, 0, 0
IT24, Inbound trailer, Supply, 0, 9, 0, 0, 0
IT25, Inbound trailer, Supply, 11, 10, 6, 0, 0
IT26, Inbound trailer, Supply, 0, 0, 0, 11, 0
IT27, Inbound trailer, Supply, 16, 10, 0, 8, 0
IT28, Inbound trailer, Supply, 0, 14, 16, 15, 0
IT29, Inbound trailer, Supply, 0, 0, 6, 13, 9
IT30, Inbound trailer, Supply, 15, 0, 13, 7, 19
IT31, Inbound trailer, Supply, 6, 8, 0, 0, 18
IT32, Inbound trailer, Supply, 14, 12, 0, 11, 0
IT33, Inbound trailer, Supply, 0, 0, 17, 11, 0
IT34, Inbound trailer, Supply, 0, 0, 0, 13, 0
IT35, Inbound trailer, Supply, 0, 5, 10, 0, 15
IT36, Inbound trailer, Supply, 6, 17, 0, 20, 0
IT37, Inbound trailer, Supply, 8, 0, 15, 0, 0
IT38, Inbound trailer, Supply, 0, 0, 7, 19, 0
IT39, Inbound trailer, Supply, 19, 0, 0, 6, 20
IT40, Inbound trailer, Supply, 0, 11, 7, 0, 13
IT41, Inbound trailer, Supply, 17, 7, 15, 19, 19
IT42, Inbound trailer, Supply, 0, 6, 19, 0, 8
IT43, Inbound trailer, Supply, 6, 7, 18, 0, 17
IT44, Inbound trailer, Supply, 12, 0, 5, 0, 0
IT45, Inbound trailer, Supply, 18, 10, 13, 15, 0
IT46, Inbound trailer, Supply, 5, 0, 0, 16, 11
IT47, Inbound trailer, Supply, 0, 18, 8, 0, 9
IT48, Inbound trailer, Supply, 0, 18, 0, 17, 6
IT49, Inbound trailer, Supply, 7, 11, 6, 15, 0
IT50, Inbound trailer, Supply, 8, 0, 6, 0, 12
IT51, Inbound trailer, Supply, 17, 0, 0, 0, 12
IT52, Inbound trailer, Supply, 0, 7, 0, 7, 0
IT53, Inbound trailer, Supply, 0, 14, 16, 15, 0
IT54, Inbound trailer, Supply, 0, 0, 0, 8, 0
IT55, Inbound trailer, Supply, 0, 18, 19, 14, 14
IT56, Inbound trailer, Supply, 14, 10, 0, 0, 14
IT57, Inbound trailer, Supply, 17, 0, 15, 0, 0
IT58, Inbound trailer, Supply, 13, 20, 0, 0, 11
IT59, Inbound trailer, Supply, 0, 0, 6, 0, 14
IT60, Inbound trailer, Supply, 0, 0, 0, 0, 10
IT61, Inbound trailer, Supply, 9, 0, 0, 16, 0
IT62, Inbound trailer, Supply, 0, 0, 0, 0, 18
IT63, Inbound trailer, Supply, 0, 0, 17, 0, 0
IT64, Inbound trailer, Supply, 8, 0, 17, 0, 11
IT65, Inbound trailer, Supply, 0, 0, 9, 0, 0
IT66, Inbound trailer, Supply, 9, 0, 7, 14, 0
IT67, Inbound trailer, Supply, 0, 10, 0, 6, 7
IT68, Inbound trailer, Supply, 0, 0, 0, 10, 18
IT69, Inbound trailer, Supply, 0, 0, 14, 5, 18
IT70, Inbound trailer, Supply, 6, 0, 8, 7, 0
IT71, Inbound trailer, Supply, 8, 6, 7, 0, 0
IT72, Inbound trailer, Supply, 19, 0, 0, 0, 0
IT73, Inbound trailer, Supply, 12, 15, 10, 14, 15
IT74, Inbound trailer, Supply, 0, 0, 0, 0, 18
IT75, Inbound trailer, Supply, 0, 12, 20, 17, 12
OT1, Outbound trailer, Demand, 14, 0, 18, 23, 0
OT2, Outbound trailer, Demand, 0, 22, 0, 0, 0
OT3, Outbound trailer, Demand, 8, 0, 0, 0, 0
OT4, Outbound trailer, Demand, 0, 27, 14, 21, 11
